ID,LOCKED_BY_EDITOR,PROGRAM_TYPE,SOURCE_OBJECT_STATUS,FIX_POINT_ARITHMETIC,ACTIVE_UNICODE_CHECK,DESCRIPTION_TEXT_LIMIT,SOURCE_CODE,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY,PARENT_ID
685e7ac2-9d52-432c-ae78-bac3a9d6e3d3,false,executableProgram,system,true,true,,,ZEPC_DI_7928,PROG/P,C5160178,EN,IDT,Sustainability Translation,active,2016-09-02T20:18:07Z,C5160178,2011-12-23T00:00:00Z,,d8f13e5f-7ed8-4450-b615-8f977da7a879
75857da8-c847-449a-8b2b-b2b450e9d849,false,executableProgram,system,true,true,,,ZR_SUSTAINABILITY_TRANSLATIONS,PROG/P,C5166436,EN,IDT,Sustainability Translations,active,2016-09-02T20:22:18Z,C5166436,2012-02-03T00:00:00Z,,d8f13e5f-7ed8-4450-b615-8f977da7a879
a79336fd-2a27-45f4-8a7a-a309e98f519d,false,executableProgram,system,true,true,,,ZR_SUST_TRANSLATIONS_IMPORT,PROG/P,C5166436,EN,IDT,Import Sustainability Translations,active,2016-09-02T20:22:18Z,C5166436,2012-02-03T00:00:00Z,,d8f13e5f-7ed8-4450-b615-8f977da7a879
e552e02f-5f2b-4705-8460-f51360ea0e31,false,executableProgram,,true,true,,,ZR_SUST_TRANSLATIONS_IMPORTS,PROG/P,C5166790,EN,IDT,SUST_TRANSLATIONS_IMPORTS,active,2016-09-02T20:22:18Z,C5166790,2012-02-29T00:00:00Z,,d8f13e5f-7ed8-4450-b615-8f977da7a879
9f22c03d-4372-4e4c-beb7-2406a903498c,false,executableProgram,system,true,true,,,ZR_SUS_TRN_IMP_7862_CG02,PROG/P,C5166436,EN,IDT,Import Sustainability Translations,active,2016-09-02T20:22:18Z,C5166436,2012-02-24T00:00:00Z,,d8f13e5f-7ed8-4450-b615-8f977da7a879
b5099f9c-b719-4f96-b252-dc3b28e79f2a,false,executableProgram,,true,true,,,ZTABLE_CHG_T006A,PROG/P,C5162514,EN,EC3,ZTABLE_CHG,active,2016-09-02T20:23:55Z,C5162514,2015-04-29T00:00:00Z,,fa7456eb-ddab-42d4-8c24-54bd87027ea8
0602f85a-0c59-4294-8d1c-3e902ed0daec,false,executableProgram,system,true,true,,,ZCREATE_PREDEMO_ALL,PROG/P,TDC,EN,T37,Create PREDEMO (user group and user),active,2016-09-02T20:17:34Z,TDC,2008-11-25T00:00:00Z,,37d1ac42-4b49-4896-8adf-94166ba185f9
107321b2-b97c-4926-871f-aea15d2a3f45,false,executableProgram,system,true,true,,,ZCREATE_TDC,PROG/P,TDC,EN,T37,Create the user TDC in all clients,active,2016-09-02T20:17:35Z,TDC,2011-11-16T00:00:00Z,,37d1ac42-4b49-4896-8adf-94166ba185f9
1eab3d06-d15c-4133-8e0e-9c5d862d966d,false,executableProgram,system,true,true,,,ZTPFTAB,PROG/P,TDC,EN,FY6,Update TPFID and TPFHT,active,2016-09-02T20:24:16Z,TDC,2007-11-30T00:00:00Z,,37d1ac42-4b49-4896-8adf-94166ba185f9
34887ade-2b23-44e5-8c0d-2db110cbbb3a,false,executableProgram,,true,true,,,ZULOC_TRAINING_128,PROG/P,TDC,EN,FY6,Unlock user TRAINING,active,2016-09-02T20:24:35Z,TDC,2006-11-13T00:00:00Z,,37d1ac42-4b49-4896-8adf-94166ba185f9
281a2b6d-5bee-4110-b946-d674d6f2303f,false,executableProgram,test,true,true,,,ZUNLOCK_USER,PROG/P,TDC,EN,T38,Unlock users,active,2016-09-02T20:24:36Z,TDC,2010-04-02T00:00:00Z,,37d1ac42-4b49-4896-8adf-94166ba185f9
