TECH_NAME,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY,LOCKED_BY_EDITOR,PROGRAM_TYPE,SOURCE_OBJECT_STATUS,FIX_POINT_ARITHMETIC,ACTIVE_UNICODE_CHECK,PARENT
ZZ_BIT615_CHAPTER11,ZZ_BIT615_CHAPTER11,PROG/P,HOFFMEISTER,DE,DE,TE3,BIT615: instructor programm for chapter 11,active,2016-09-02T20:26:02Z,HOFFMEISTER,2003-04-16T00:00:00Z,,false,executableProgram,test,true,true,Root
ZZ_BIT615_CHAPTER5,ZZ_BIT615_CHAPTER5,PROG/P,HOFFMEISTERF,DE,DE,EC3,Report ZZ_BIT615_CHAPTER5,active,2016-09-02T20:26:02Z,HOFFMEISTERF,2005-08-01T00:00:00Z,,false,executableProgram,test,true,true,Root
ZZ_BIT615_INIT,ZZ_BIT615_INIT,PROG/P,HOFFMEISTER,DE,DE,TE3,BIT615: Prepartion of Training System Customizing Init,active,2016-09-02T20:26:02Z,HOFFMEISTER,2003-04-16T00:00:00Z,,false,executableProgram,test,true,true,Root
ZZ_BIT615_MASS_PRINTLIST,ZZ_BIT615_MASS_PRINTLIST,PROG/P,HOFFMEISTERF,DE,DE,EC3,Programm ZZ_BIT615_MASS_PRINTLIST,active,2016-09-02T20:26:02Z,HOFFMEISTERF,2005-08-01T00:00:00Z,,false,executableProgram,test,true,true,Root
ZZ_BIT615_OBJECT_LINK,ZZ_BIT615_OBJECT_LINK,PROG/P,HOFFMEISTERF,DE,DE,EC3,Report ZZ_BIT615_OBJECT_LINK,active,2016-09-02T20:26:02Z,HOFFMEISTERF,2005-08-01T00:00:00Z,,false,executableProgram,test,true,true,Root
Z_BATCH_CREATION,Z_BATCH_CREATION,PROG/P,D001560,EN,EN,DIG,Automatic Payment Batch Creation,active,2016-09-02T20:26:14Z,D001560,2012-03-02T00:00:00Z,,false,executableProgram,test,true,true,Root
Z_BATCH_CREATION_MOBILE,Z_BATCH_CREATION_MOBILE,PROG/P,D001560,EN,EN,DIG,Automatic Payment Batch Creation for Mobile Users,active,2016-09-02T20:26:14Z,D001560,2012-03-02T00:00:00Z,,false,executableProgram,test,true,true,Root
ZBNK_NTE1105027,ZBNK_NTE1105027,PROG/P,C5066469,EN,EN,IDT,Repair program note 1105027,active,2016-09-02T20:17:07Z,C5066469,2007-12-19T00:00:00Z,,false,executableProgram,customerProduction,true,true,Root
ZBNK_NTE1105027,ZBNK_NTE1105027,PROG/P,C5066469,EN,EN,IDT,Repair program note 1105027,active,2016-09-02T20:17:07Z,C5066469,2007-12-19T00:00:00Z,,false,executableProgram,customerProduction,true,true,ZBNK_NTE1105027
ZBNK_RULE_TRANSPORT,ZBNK_RULE_TRANSPORT,PROG/P,C5066469,EN,EN,IDT,Program ZBNK_RULE_TRANSPORT,active,2016-09-02T20:17:07Z,C5066469,2007-12-06T00:00:00Z,,false,executableProgram,,true,true,Root
ZBNK_RULE_TRANSPORT,ZBNK_RULE_TRANSPORT,PROG/P,C5066469,EN,EN,IDT,Program ZBNK_RULE_TRANSPORT,active,2016-09-02T20:17:07Z,C5066469,2007-12-06T00:00:00Z,,false,executableProgram,,true,true,ZBNK_RULE_TRANSPORT
ZBO_ENTITY_TYPE_DELETE,ZBO_ENTITY_TYPE_DELETE,PROG/P,C5197861,EN,EN,EC3,Business Object Type for Entity Types - Delete,active,2016-09-02T20:17:07Z,C5197861,2016-05-12T00:00:00Z,,false,executableProgram,customerProduction,true,true,Root
ZP_IT0007_ANLEGEN,ZP_IT0007_ANLEGEN,PROG/P,WGANGL,DE,DE,EC3,Programm ZP_IT0007_ANLEGEN,active,2016-09-02T20:21:44Z,WGANGL,2000-12-10T00:00:00Z,,false,executableProgram,,true,false,Root
ZUPLOAD_FILE,ZUPLOAD_FILE,PROG/P,C5162971,EN,EN,EC3,Program ZUPLOAD_FILE,active,2016-09-02T20:24:36Z,C5162971,2013-04-18T00:00:00Z,,false,executableProgram,,true,true,Root
ZUPLOAD_FILE_TEST,ZUPLOAD_FILE_TEST,PROG/P,C5162971,EN,EN,EC3,Report ZUPLOAD_FILE_TEST,active,2016-09-02T20:24:37Z,C5162971,2013-04-22T00:00:00Z,,false,executableProgram,,true,true,Root
ZC2FUPDATESO,ZC2FUPDATESO,PROG/P,I304043,ZH,ZH,EC3,Update SO Status,active,2016-09-02T20:17:16Z,I304043,2015-09-30T00:00:00Z,,false,executableProgram,customerProduction,true,true,Root
ZTR_EXPOSUSURE_UPLOAD_NEW,ZTR_EXPOSUSURE_UPLOAD_NEW,PROG/P,C5191063,EN,EN,EC3,Program ZTR_EXPOSUSURE_UPLOAD_NEW,active,2016-09-02T20:24:25Z,C5191063,2013-12-12T00:00:00Z,,false,executableProgram,,true,true,Root
ZNWBC_USER_ROLE_DATA,ZNWBC_USER_ROLE_DATA,PROG/P,C5245511,EN,EN,EC3,Report to read user Tcodes access,active,2016-10-16T18:14:19Z,C5245511,2016-10-16T00:00:00Z,,false,executableProgram,,true,true,Root
ZZSAVEUSERS,ZZSAVEUSERS,PROG/P,CURA,DE,EN,EC3,Transport User Master Records,active,2016-09-02T20:25:43Z,CURA,1999-02-02T00:00:00Z,,true,executableProgram,,true,true,Root
