TECH_NAME,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY
30900005,30900005,PDTS/MA,GERSTNER,EN,EN,EC3,Z00MatDisp,active,,,,
30900006,30900006,PDTS/MA,GERSTNER,EN,EN,EC3,Z00MatEdit,active,,,,
30900007,30900007,PDTS/MA,GERSTNER,EN,EN,EC3,ZRGMatVolSet,active,,,,
30900008,30900008,PDTS/MA,GERSTNER,EN,EN,EC3,ZRGUserDec,active,,,,
30900009,30900009,PDTS/MA,GERSTNER,EN,EN,EC3,ZRGMatSendMa,active,,,,
98000004,98000004,PDTS/MA,D019512,EN,EN,EC3,Z00GetIndust,active,,,,
98000008,98000008,PDTS/MA,GERSTNER,EN,EN,EC3,Z00MatDispV,active,,,,
30900129,30900129,PDAC/MR,GERSTNER,EN,EN,EC3,Z00MatDispAc,active,,,,
30900130,30900130,PDAC/MR,GERSTNER,EN,EN,EC3,Z00MatEditAc,active,,,,
30900003,30900003,PDWS/MM,GERSTNER,EN,EN,EC3,Z00Material,active,,,,
30900004,30900004,PDWS/MM,GERSTNER,EN,EN,EC3,Z00MatExtend,active,,,,
